UAV_Height_m,Mean_RxPower_dBm,Mean_SNR_dB,CoveragePercent_NRep1,CoveragePercent_NRep32
30,-103.621753156385,-18.624864165307,9.14876690533015,27.1280827366746
90,-91.5197654103547,-6.5228764192771,29.9920445505171,83.8504375497216
120,-88.0087028159091,-3.01181382483152,45.5051710421639,98.0111376292761
150,-85.5446903710326,-0.547801379955003,65.7120127287192,100
250,-82.1726348408958,2.82425415018187,88.623707239459,100
